Start, Über1, Über2, Über3, Über4, Über5, Über6, Über7, Über8, Ziel, Länge in km, Verlinkung zum Fahrtenbuch
Leipzig, Brandis,,,,,,,, Naunhof,51.7, http://digital.slub-dresden.de/werkansicht/dlf/16009/13/0/
Leipzig, Gross Dölzig,,,,,,,, Schkeuditz,31.4, http://digital.slub-dresden.de/werkansicht/dlf/16009/13/0/
Leipzig, Eutritzsch, Hohenossig, Pröttitz, Crostitz, Crensitz, Gollmenz, Lindenhain, Wellaune, Düben,33.9, http://digital.slub-dresden.de/werkansicht/?id=5363&tx_dlf%5Bid%5D=103042&tx_dlf%5Bpage%5D=28
Leipzig, Wahren,Lützschena,Hänichen,Modelwitz,Schkeuditz,Grosskugel,Gröbers,Bruckdorf,Halle,36.2,http://digital.slub-dresden.de/werkansicht/dlf/124441/15/0/ http://digital.slub-dresden.de/werkansicht/dlf/124441/16/0/
Leipzig, Eilenbourg, Torgau, Herzberg, Luckau, Lübbenau,,,, Spreewald, 142.2, http://digital.slub-dresden.de/werkansicht/?id=5363&tx_dlf%5Bid%5D=103042&tx_dlf%5Bpage%5D=33
Pretzsch, Dommitzsch, Torgau, Belgern, Mühlberg, Strehla, Riesa,,, Seerhausen, 71.8, http://digital.slub-dresden.de/werkansicht/dlf/103042/31/
Leipzig, Eilenburg, Wellaune, Prellheide,,,,,, Leipzig, 77.5, http://digital.slub-dresden.de/werkansicht/?id=5363&tx_dlf%5Bid%5D=103042&tx_dlf%5Bpage%5D=35
Eilenburg, Wurzen, Grimma,,,,,,, Bad Lausick, 45.4, http://digital.slub-dresden.de/werkansicht/dlf/103042/36/
Leipzig, Taucha, Borsdorf, Naunhof,,,,,, Lindhardt, 56.6, http://digital.slub-dresden.de/werkansicht/dlf/103042/37/
Leipzig, Wurzen, Schildau,,,,,,, Torgau, 59.3, http://digital.slub-dresden.de/werkansicht/dlf/103042/38/
Leipzig, Wurzen, Hohburger Schweiz, Eilenburg,,,,,, Leipzig, 75.7, http://digital.slub-dresden.de/werkansicht/dlf/103042/40/
Leipzig, Wurzen, Oschatz, Meißen,,,,,, Dresden, 112.0, http://digital.slub-dresden.de/werkansicht/dlf/103042/40/
Leipzig, Grimma, Leisnig, Colditz, Bad Lausick, Borna,,,, Leipzig, 115.4, http://digital.slub-dresden.de/werkansicht/dlf/103042/43/
Leipzig, Grimma, Wermsdorf, (Oschatz), Dahlen, Torgau, Eilenburg,,, Leipzig, 137.1, http://digital.slub-dresden.de/werkansicht/dlf/103042/46/
Wermsdorf, Mügeln, Ostrau, Lommatzsch,,,,,, Meißen, 49.5, http://digital.slub-dresden.de/werkansicht/dlf/103042/48/
Leisnig, Kreuz, Mittweida, Chemnitztal,,,,,, Chemnitz, 50.8, http://digital.slub-dresden.de/werkansicht/dlf/103042/49/?tx_dlf%5Bpointer%5D=2&cHash=8c315916f56ac20a4677477aba9eb9ef
